id,size,mean_ra,mean_dec,mean_distance
684,2,267.641300,27.323244,259.693
685,2,224.800563,6.807465,177.399
686,2,131.402966,65.503435,220.340
687,2,52.456881,6.633026,88.827
688,2,77.068080,-10.882857,199.261
689,2,180.752954,77.335665,137.062
690,2,152.448185,79.645206,153.627
691,2,247.993970,12.867892,214.016
692,2,180.487515,-27.760015,126.559
693,2,135.775155,1.298972,67.868
694,2,94.071305,33.924437,176.248
695,2,222.202051,20.794737,214.793
696,2,320.018563,71.501806,192.883
697,2,104.307713,-41.826225,238.996
698,2,29.113756,57.522362,114.156
699,2,2.590993,-60.020945,159.151
700,2,322.757422,48.437517,319.934
701,2,193.765707,-26.573859,222.860
702,2,177.576365,76.370339,59.635
703,2,181.839643,77.940355,95.974
704,2,192.471893,14.421718,142.959
705,2,34.018926,41.866287,94.095
706,2,222.322119,-40.289097,180.685
707,2,299.290937,-38.279526,63.840
708,2,134.339665,-66.205184,171.648
709,2,25.168272,-31.543172,172.812
710,2,70.830368,73.497311,144.117
711,2,53.064901,-55.654056,265.595
712,2,72.271137,-77.012327,160.792
713,2,342.295851,-1.934807,207.095
714,2,176.015896,-38.484225,183.920
715,2,123.178598,-44.075296,92.611
716,2,146.831999,-33.611070,158.938
717,2,117.121011,36.630052,146.104
718,2,345.510229,39.316797,121.416
719,2,154.129873,79.734149,145.407
720,2,51.924351,-42.209886,173.181
721,2,348.813855,38.214652,90.060
722,2,84.372629,36.530131,60.997
723,2,1.478975,18.154828,37.421
724,2,91.136598,11.087219,169.435
725,2,1.352955,54.275672,275.625
726,2,192.970469,34.774138,259.783
727,2,180.839828,4.927940,132.521
728,2,248.302118,-62.282380,231.126
729,2,224.577619,8.888860,104.921
730,2,116.607056,33.470442,70.382
731,2,347.625382,41.310880,69.620
732,2,220.058896,-38.686863,183.783
733,2,227.114451,28.020777,80.259
734,2,244.867406,-29.784497,25.337
735,2,218.879562,-35.449222,152.700
736,2,124.280384,-77.601247,277.739
737,2,41.273692,10.051537,45.231
738,2,25.916904,28.054315,57.153
739,2,284.321907,62.191946,197.343
740,2,21.470080,-21.261944,199.091
741,2,211.579229,-63.472480,291.927
742,2,262.707480,-70.878213,243.069
743,2,219.742180,23.809562,192.180
744,2,336.395106,-65.611948,129.349
745,2,141.440502,46.965852,244.388
746,2,185.089691,51.504085,59.282
747,2,255.626461,-0.992867,145.590
748,2,146.992702,-62.203580,94.527
